ticket_id,timestamp,category,severity,description
TCK00252,2026-06-01T06:48:45,false_positive,low,Spike in traffic from staff-ops was traced to a scheduled backup job on Gate-Management-System; closed as benign.
TCK00258,2026-06-01T07:59:53,malware,high,Unusual outbound traffic from device DEV0266 to an external IP consistent with command-and-control beaconing. Device isolated pending forensic review.
TCK00254,2026-06-01T17:23:55,network_intrusion,medium,"Network monitoring flagged cross-segment traffic from vendor-vpn toward the operational network, targeting Cargo-Manifest-System on port 443. Volume was significantly above baseline."
TCK00151,2026-06-01T17:40:14,access_abuse,high,"SOC noticed STF1009 (staff) logging into Staff-VPN at 1:00, well outside normal shift hours. Access originated from vendor-vpn and included a privilege escalation attempt on Gate-Management-System."
TCK00005,2026-06-01T18:10:03,false_positive,medium,Alert on STF1110 accessing Departure-Control-System after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00069,2026-06-01T19:45:24,malware,medium,Endpoint protection flagged suspicious executable on a workstation in AeroFuel Solutions. File quarantined; investigating lateral spread toward Departure-Control-System.
TCK00185,2026-06-02T06:15:35,false_positive,low,Alert on STF1029 accessing Retail-POS-Backend after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00116,2026-06-02T06:30:45,vendor_risk,low,Vendor remote-access session from Falcon Cargo Handling showed an elevated-privilege configuration change on Gate-Management-System without a documented change ticket.
TCK00232,2026-06-02T07:32:07,malware,medium,Endpoint protection flagged suspicious executable on a workstation in Ground Operations. File quarantined; investigating lateral spread toward Departure-Control-System.
TCK00255,2026-06-02T08:54:38,vendor_risk,medium,Vendor remote-access session from AeroFuel Solutions showed an elevated-privilege configuration change on Cargo-Manifest-System without a documented change ticket.
TCK00039,2026-06-02T09:31:16,access_abuse,high,Repeated failed authentication attempts for STF1121 against Cargo-Manifest-System followed by a successful login from an unusual location. Recommend forcing password reset and reviewing session activity.
TCK00095,2026-06-02T10:35:15,malware,medium,Unusual outbound traffic from device DEV0306 to an external IP consistent with command-and-control beaconing. Device isolated pending forensic review.
TCK00113,2026-06-02T12:11:21,vendor_risk,low,Vendor remote-access session from AeroFuel Solutions showed an elevated-privilege configuration change on Cargo-Manifest-System without a documented change ticket.
TCK00044,2026-06-02T13:20:51,network_intrusion,high,Unexpected lateral connection observed between vendor VPN segment and Airfield-Ops-Portal; source account is STF1107.
TCK00159,2026-06-02T17:35:17,access_abuse,low,"SOC noticed STF1084 (staff) logging into Airfield-Ops-Portal at 23:00, well outside normal shift hours. Access originated from staff-ops and included a privilege escalation attempt on Airfield-Ops-Portal."
TCK00164,2026-06-02T19:56:59,policy_violation,medium,Personal USB device was connected to a workstation in SkyLink Ground Services in violation of endpoint policy.
TCK00062,2026-06-02T21:13:53,vendor_risk,high,Coastal Catering Co technician accessed Cargo-Manifest-System outside the scheduled maintenance window listed in the service agreement. Contract compliance review requested.
TCK00309,2026-06-03T07:14:00,access_abuse,medium,Repeated failed authentication attempts for STF1135 against Maintenance-Ticketing followed by a successful login from an unusual location. Recommend forcing password reset and reviewing session activity.
TCK00183,2026-06-03T09:30:54,phishing,low,Multiple phishing emails referencing 'urgent baggage system update' were sent to Baggage Handling staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00145,2026-06-03T10:22:18,data_exposure,medium,Bulk export of records from Cargo-Manifest-System was performed by STF1047; volume far exceeds routine reporting patterns. Data-loss-prevention review initiated.
TCK00314,2026-06-03T10:43:35,malware,low,Unusual outbound traffic from device DEV0290 to an external IP consistent with command-and-control beaconing. Device isolated pending forensic review.
TCK00142,2026-06-03T13:32:50,network_intrusion,high,"Network monitoring flagged cross-segment traffic from vendor-vpn toward the operational network, targeting Gate-Management-System on port 443. Volume was significantly above baseline."
TCK00120,2026-06-03T13:51:32,access_abuse,low,"SOC noticed STF1054 (staff) logging into Gate-Management-System at 0:00, well outside normal shift hours. Access originated from vendor-vpn and included a privilege escalation attempt on Airfield-Ops-Portal."
